N,P,K,temperature,humidity,ph,rainfall,label,EC,min_mdpl,max_mdpl
90.0,42.0,43.0,20.87974371,82.00274423,6.502985292000001,202.9355362,Padi,1.7213122414666977,0,1500
85.0,58.0,41.0,21.77046169,80.31964408,7.038096361,226.6555374,Padi,1.6441100315969306,0,1500
60.0,55.0,44.0,23.00445915,82.3207629,7.840207144,263.9642476,Padi,1.6618013905777231,0,1500
74.0,35.0,40.0,26.49109635,80.15836264,6.980400905,242.8640342,Padi,1.6663776494974254,0,1500
78.0,42.0,42.0,20.13017482,81.60487287,7.628472891,262.7173405,Padi,1.650006144003221,0,1500
69.0,37.0,42.0,23.05804872,83.37011772,7.073453503,251.0549998,Padi,1.6640390830373577,0,1500
69.0,55.0,38.0,22.70883798,82.63941394,5.70080568,271.3248604,Padi,1.735202560347811,0,1500
94.0,53.0,40.0,20.27774362,82.89408619,5.718627177999999,241.9741949,Padi,1.7532471613045753,0,1500
89.0,54.0,38.0,24.51588066,83.53521629999999,6.685346424,230.4462359,Padi,1.762906173528738,0,1500
68.0,58.0,38.0,23.22397386,83.03322691,6.336253525,221.2091958,Padi,1.720599715929024,0,1500
91.0,53.0,40.0,26.52723513,81.41753846,5.386167788,264.6148697,Padi,1.775592516487904,0,1500
90.0,46.0,42.0,23.97898217,81.45061596,7.50283396,250.0832336,Padi,1.723214109519097,0,1500
78.0,58.0,44.0,26.80079604,80.88684822,5.108681786,284.4364567,Padi,1.7695327260209055,0,1500
93.0,56.0,36.0,24.01497622,82.05687182,6.98435366,185.2773389,Padi,1.751048144266708,0,1500
94.0,50.0,37.0,25.66585205,80.66385045,6.94801983,209.5869708,Padi,1.6927717997019394,0,1500
60.0,48.0,39.0,24.28209415,80.30025587,7.042299068999999,231.0863347,Padi,1.6076480601568994,0,1500
85.0,38.0,41.0,21.58711777,82.7883708,6.2490506560000005,276.65524589999995,Padi,1.762609017249302,0,1500
91.0,35.0,39.0,23.79391957,80.41817957,6.970859754,206.2611855,Padi,1.689137889816661,0,1500
77.0,38.0,36.0,21.8652524,80.1923008,5.953933276,224.55501690000003,Padi,1.6264974145747124,0,1500
88.0,35.0,40.0,23.57943626,83.58760316,5.85393208,291.2986618000001,Padi,1.7319508765380751,0,1500
89.0,45.0,36.0,21.32504158,80.47476396,6.442475375,185.4974732,Padi,1.6653567368438231,0,1500
76.0,40.0,43.0,25.15745531,83.11713476,5.070175667,231.3843163,Padi,1.7535861862885918,0,1500
67.0,59.0,41.0,21.94766735,80.97384195,6.012632591,213.3560921,Padi,1.6683422147074571,0,1500
83.0,41.0,43.0,21.0525355,82.67839517,6.254028451,233.1075816,Padi,1.7575031657458615,0,1500
98.0,47.0,37.0,23.48381344,81.33265073,7.375482851,224.0581164,Padi,1.6745931462906691,0,1500
66.0,53.0,41.0,25.0756354,80.52389148,7.778915154,257.0038865,Padi,1.6616167770447323,0,1500
97.0,59.0,43.0,26.35927159,84.04403589,6.2865001760000006,271.35861370000003,Padi,1.7755938528884223,0,1500
97.0,50.0,41.0,24.52922681,80.54498576,7.070959995,260.2634026,Padi,1.6548999194769494,0,1500
60.0,49.0,44.0,20.77576147,84.49774397,6.244841491,240.0810647,Padi,1.732618098475261,0,1500
84.0,51.0,35.0,22.30157427,80.64416466,6.043304899,197.9791215,Padi,1.69807888708271,0,1500
